idx,question,true_label,predicted_label,pred_calibrated,pred_hybrid,score_yes,score_no,score_maybe,calib_yes,calib_no,calib_maybe,text_vote,confidence_margin,generated_text,prompt_token_len,truncated
0,Is anorectal endosonography valuable in dyschesia?,yes,no,maybe,yes,5.5336,7.4702,4.7551,1.2030000000000003,3.2664,3.8709999999999996,yes,1.9366,"""Is anorectal endosonography useful in the diagnosis of dyschesia?""",284,False
1,Is there a connection between sublingual varices and hypertension?,yes,no,no,no,7.9873,8.4317,3.893,3.6567000000000007,4.227899999999999,3.0088999999999997,,0.4444,"""There is a connection between sublingual varices and hypertension.""",345,False
2,Is the affinity column-mediated immunoassay method suitable as an alternative to the microparticle enzyme immunoassay method as a blood tacrolimus assay?,yes,no,no,no,7.1175,7.8844,4.0346,2.7869,3.6806,3.1505,,0.7668,"""The affinity column-mediated immunoassay method is a suitable alternative to the microparticle enzyme immunoassay method as a blood tacrolimus assay.""",285,False
3,Does a physician's specialty influence the recording of medication history in patients' case notes?,yes,no,no,no,5.917,7.7421,3.446,1.5864000000000003,3.5382999999999996,2.5619,,1.8252,"""The specialty of the physician influences the frequency and depth of documentation of the medication history information in patient medical records.""",292,False
4,Locoregional opening of the rodent blood-brain barrier for paclitaxel using Nd:YAG laser-induced thermo therapy: a new concept of adjuvant glioma therapy?,yes,no,maybe,maybe,6.8944,7.0809,4.0476,2.5638000000000005,2.8770999999999995,3.1635,,0.1865,LITT-induced disruption of the BBB allows a locoregional passage of chemotherapeutic agents into brain tissue.,202,False
5,Spinal subdural hematoma: a sequela of a ruptured intracranial aneurysm?,yes,no,no,no,4.2812,6.9596,2.2325,-0.049399999999999444,2.7558,1.3483999999999998,no,2.6784,"""The evidence is not strong.""",220,False
6,Is there a correlation between androgens and sexual desire in women?,yes,no,no,no,8.459,8.6447,3.8427,4.1284,4.4409,2.9585999999999997,no,0.1858,"""There is no correlation between androgens and sexual desire in women.""",306,False
7,Is the zeolite hemostatic agent beneficial in reducing blood loss during arterial injury?,yes,yes,maybe,maybe,7.7718,7.0697,5.4687,3.4412000000000003,2.8659,4.5846,yes,0.702,"""QuikClot is beneficial in reducing blood loss during arterial injury.""",244,False
8,Are endothelial cell patterns of astrocytomas indicative of grade?,yes,no,no,no,4.6824,7.2438,2.9929,0.3518000000000008,3.04,2.1088,no,2.5614,"""There is no evidence that the vascular pattern of astrocytomas is indicative of grade.""",251,False
9,Should cavitation in proximal surfaces be reported in cone beam computed tomography examination?,yes,yes,yes,yes,8.7083,7.6238,2.682,4.3777,3.42,1.7978999999999998,,1.0846,"""If the lesion is cavitated, then the lesion should be reported as cavitated in CBCT.""",245,False
10,Ultrasound in squamous cell carcinoma of the penis; a useful addition to clinical staging?,yes,no,no,no,6.4735,8.9265,2.6551,2.1429,4.722700000000001,1.771,,2.453,"""Ultrasound is not a useful addition to clinical staging.""",219,False
11,Can third trimester ultrasound predict the presentation of the first twin at delivery?,yes,yes,yes,yes,7.9952,7.7916,2.7065,3.6646,3.5877999999999997,1.8224,,0.2036,"""If the first twin is noncephalic, then the second twin should be cephalic.""",209,False
12,Is micro-computed tomography reliable to determine the microstructure of the maxillary alveolar bone?,yes,no,no,no,7.4347,7.6538,4.207,3.1041000000000007,3.45,3.3228999999999997,,0.2191,"""The micro-CT method is reliable to assess the bone density and the microstructure of the maxillary alveolar bone.""",296,False
